"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19850","20690","10890","5040","2740","3510","2570","3340","3470","3110","3560","3600","3120","3500","3760","4460","4490","5200","5690","4510","4340","4940","5720","5500","5480","5340","5070","5320","5550","","",
"American Samoa","ASM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","CO2 emissions (kt)","EN.ATM.CO2E.KT","36.67","47.671","102.676","84.341","91.675","150.347","348.365","564.718","990.09","1257.781","462.042","425.372","374.034","330.03","429.039","707.731","403.37","465.709","491.378","407.037","143.013","106.343","293.36","84.341","146.68","249.356","249.356","275.025","286.026","286.026","210","220","290","250","250","270","280","300","330","330","330","350","390","410","400","410","440","460","480","1390","490","510","720","470","480","490","500","500","530","","",
"Australia","AUS","CO2 emissions (kt)","EN.ATM.CO2E.KT","88202.351","90589.568","94912.961","101029.517","108979.573","120966.996","120332.605","129265.417","134622.904","142257.598","147618.752","152774.554","157486.649","170992.21","172356.334","175883.988","174244.839","187787.07","202015.03","205069.641","220746.066","230360.94","234119.615","225003.453","236594.84","241229.928","239964.813","256106.947","261145.405","277771.583","263600","264710","268360","272360","278670","289010","299590","306770","327660","333040","338810","344960","352890","351990","365270","369510","375060","385370","388500","394950","387350","385770","385770","379270","369880","375970","383960","387200","386620","","",
"Austria","AUT","CO2 emissions (kt)","EN.ATM.CO2E.KT","30821.135","31862.563","33905.082","36992.696","38943.54","38188.138","39258.902","39966.633","42350.183","44693.396","50692.608","52155.741","56193.108","60164.469","57469.224","54392.611","58415.31","56218.777","57483.892","61594.599","52306.088","56130.769","53868.23","51983.392","54550.292","54700.639","54080.916","57744.249","53340.182","54117.586","58270","62420","57670","57800","58290","61180","64900","64220","64670","63050","63530","67910","69370","74460","75800","76240","74100","71240","70730","64420","69960","68270","65110","65750","61990","63150","63390","65830","63180","","",
"Azerbaijan","AZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57520","67030","44620","53520","47580","45770","40380","39470","39390","38780","40010","38720","38130","34340","34090","36650","34170","27510","29580","25140","24150","28560","30760","31390","32630","32170","32660","31970","32020","","",
"Burundi","BDI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","44.004","47.671","47.671","36.67","47.671","47.671","55.005","73.34","62.339","73.34","73.34","73.34","91.675","77.007","88.008","99.009","102.676","110.01","146.68","157.681","157.681","205.352","220.02","231.021","234.688","249.356","227.354","267.691","190","230","200","210","210","220","220","230","230","230","260","210","220","170","160","160","190","190","200","200","320","370","390","410","390","410","460","570","590","","",
"Belgium","BEL","CO2 emissions (kt)","EN.ATM.CO2E.KT","91000.272","92793.435","98117.919","105781.949","103662.423","105440.918","105206.23","107472.436","118557.777","123618.237","125620.419","121528.047","130834.893","138872.957","135220.625","122100.099","130009.818","126570.172","135855.016","140233.414","135301.299","124021.607","117553.019","101630.905","105422.583","104472.83","102874.018","103116.04","100354.789","107461.435","109310","113960","112330","110110","114900","114570","119450","116640","119410","115510","117280","118340","110850","115500","114020","110610","108650","104590","106930","99670","106470","95570","94960","96610","90160","95200","94320","92770","93470","","",
"Benin","BEN","CO2 emissions (kt)","EN.ATM.CO2E.KT","161.348","128.345","135.679","121.011","143.013","150.347","113.677","143.013","154.014","201.685","282.359","293.36","388.702","381.368","407.037","443.707","260.357","297.027","363.033","366.7","517.047","429.039","491.378","454.708","502.379","744.401","685.729","539.049","553.717","630.724","380","330","360","420","400","460","1050","1240","1300","1420","1530","1840","2120","2380","2530","2780","3830","4390","4350","4700","5080","4980","4740","5020","5510","5990","7230","7360","7910","","",
"Burkina Faso","BFA","CO2 emissions (kt)","EN.ATM.CO2E.KT","44.004","91.675","84.341","88.008","110.01","102.676","102.676","102.676","102.676","121.011","143.013","150.347","161.348","168.682","205.352","220.02","209.019","249.356","348.365","407.037","432.706","557.384","575.719","594.054","465.709","476.71","480.377","517.047","553.717","821.408","590","600","610","620","620","640","720","820","880","930","1050","1020","1020","1100","1130","1150","1400","1680","1910","1930","2090","2200","2710","2970","3020","3400","3500","4070","4270","","",
"Bangladesh","BGD","CO2 emissions (kt)","EN.ATM.CO2E.KT","14154.62","14656.999","16105.464","18514.683","19035.397","19974.149","20326.181","21572.961","24737.582","23993.181","24337.879","23076.431","3509.319","4554.414","4660.757","4869.776","5570.173","5812.195","6017.547","6648.271","7638.361","7931.721","8599.115","8236.082","9123.496","10234.597","11463.042","11862.745","13545.898","13454.223","11520","10830","11820","12570","13540","16550","16820","18970","19250","20110","21650","25780","27430","28630","30530","32710","35900","37990","41580","44750","50580","54420","57990","60580","63800","71690","73740","78710","82760","","",
"Bulgaria","BGR","CO2 emissions (kt)","EN.ATM.CO2E.KT","22295.36","25973.361","30736.794","34411.128","42863.563","46317.877","48767.433","55166.348","59526.411","66376.367","61238.9","64300.845","66171.015","68825.923","71260.811","73061.308","73116.313","75969.239","81411.067","79152.195","77487.377","80343.97","90131.193","90365.881","87366.275","89540.806","91528.32","91634.663","87289.268","86739.218","73560","58610","55130","55670","53520","54690","55060","53370","50590","44300","43330","46180","43630","47890","47180","47880","48970","52620","50030","42970","44850","49670","45120","39820","42230","44690","41740","44040","41130","","",
