"Data Source","World Development Indicators",

"Last Updated Date","2021-07-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Cameroon","CMR","CO2 emissions (kt)","EN.ATM.CO2E.KT","271.358","282.359","289.693","300.694","337.364","311.695","344.698","458.375","506.046","572.052","638.058","810.407","861.745","898.415","975.422","1162.439","1092.766","1565.809","2002.182","1829.833","3905.355","5342.819","6343.91","6589.599","6057.884","6475.922","1994.848","1844.501","2200.2","7634.694","2900","2650","2530","6660","7290","7110","6340","6590","6760","6520","6700","6330","6220","6100","6540","6610","6950","8120","8210","8790","8990","7970","7060","7370","7750","8010","8550","8320","8620","","",
"Congo, Dem. Rep.","COD","CO2 emissions (kt)","EN.ATM.CO2E.KT","2321.211","2357.881","2174.531","2295.542","1976.513","2471.558","2405.552","2291.875","3369.973","3652.332","2713.58","2962.936","3021.608","3193.957","3369.973","3237.961","3413.977","3487.317","3538.655","3755.008","3501.985","3777.01","3072.946","4026.366","3964.027","3641.331","3377.307","3854.017","4019.032","4393.066","3180","1740","1480","1430","1280","1240","1250","1200","1330","1320","920","790","880","1070","1170","1490","1600","1750","1870","1920","2060","2520","2430","3650","4790","2890","2060","2280","2200","","",
"Congo, Rep.","COG","CO2 emissions (kt)","EN.ATM.CO2E.KT","223.687","267.691","238.355","234.688","267.691","245.689","308.028","322.696","451.041","502.379","572.052","685.729","663.727","1221.111","1624.481","1100.1","1235.779","480.377","322.696","348.365","407.037","473.043","1345.789","1144.104","1140.437","1279.783","1067.097","1323.787","1499.803","1507.137","840","3080","3010","2990","2780","2930","2800","3340","3230","2950","2860","2990","2800","2940","2860","4820","4950","5130","5410","5440","4980","4860","4750","4000","4080","3440","3350","3220","3220","","",
"Colombia","COL","CO2 emissions (kt)","EN.ATM.CO2E.KT","16409.825","18217.656","19442.434","21257.599","21708.64","22885.747","23501.803","24715.58","26604.085","28048.883","28404.582","30326.09","31481.195","33699.73","36479.316","35896.263","38089.129","39354.244","41682.789","44433.039","44356.032","44458.708","45914.507","49449.495","48980.119","48378.731","49101.13","50487.256","52445.434","53233.839","48860","50580","53210","55780","56430","59060","58850","63590","64090","55870","58220","58560","56430","56020","56220","57910","57720","59190","60000","62960","64680","69910","70290","77790","79820","81030","83760","76060","79490","","",
"Comoros","COM","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","11.001","11.001","14.668","18.335","18.335","18.335","18.335","29.336","29.336","29.336","29.336","29.336","33.003","40.337","40.337","29.336","22.002","47.671","47.671","47.671","47.671","47.671","47.671","44.004","47.671","51.338","51.338","70","70","70","70","70","80","80","80","90","90","100","110","110","140","150","140","150","120","120","130","160","150","150","180","160","180","200","250","260","","",
"Cabo Verde","CPV","CO2 emissions (kt)","EN.ATM.CO2E.KT","22.002","22.002","18.335","14.668","29.336","25.669","22.002","18.335","29.336","36.67","36.67","36.67","51.338","62.339","66.006","77.007","73.34","80.674","209.019","249.356","121.011","33.003","36.67","36.67","84.341","84.341","58.672","80.674","73.34","80.674","100","100","110","110","110","120","140","150","160","190","220","250","280","310","340","440","500","460","480","510","540","570","530","510","500","500","550","590","620","","",
"Costa Rica","CRI","CO2 emissions (kt)","EN.ATM.CO2E.KT","491.378","491.378","550.05","601.388","674.728","847.077","993.757","876.413","1037.761","1147.771","1250.447","1529.139","1763.827","2046.186","1906.84","2038.852","2086.523","2614.571","2922.599","2794.254","2464.224","2251.538","2086.523","2104.858","2002.182","2266.206","2607.237","2757.584","2940.934","2973.937","2870","3060","4150","4180","4850","4810","4530","4490","5020","5040","4950","5420","5520","5800","5940","6270","6560","7600","7520","7200","7110","7430","7450","7780","7830","7540","8080","8180","8260","","",
"Caribbean small states","CSS","CO2 emissions (kt)","EN.ATM.CO2E.KT","5878.201","8804.467","11771.07","5984.544","10652.635","11917.75","11756.402","14026.275","14026.275","14869.685","20960.572","25060.278","25580.992","30670.788","29482.68","31583.871","34766.827","38606.176","37091.705","37524.411","38837.197","32566.627","31620.541","28639.27","28899.627","31972.573","27894.869","29240.658","27146.801","29904.385","28330","27640","28470","28470","29430","30190","30570","31430","33060","33390","32770","34220","34770","34590","35260","38980","42900","42970","39950","48680","39680","41140","42870","41400","40210","39450","36580","35670","36920","","",
"Cuba","CUB","CO2 emissions (kt)","EN.ATM.CO2E.KT","13699.912","12181.774","14169.288","13039.852","14293.966","14609.328","15185.047","15749.765","16035.791","17260.569","18672.364","19607.449","20799.224","22398.036","22911.416","27066.127","27223.808","29402.006","30689.123","31712.216","31400.521","32749.977","34554.141","30843.137","32603.297","32577.628","33567.718","33952.753","35635.906","35738.582","35410","27430","22090","20090","21610","23080","25030","27400","26950","27830","28200","27190","25960","25230","24970","25860","26300","27200","26310","27100","30260","28540","28850","27350","26880","27490","28450","25650","24970","","",
"Curacao","CUW","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","11.001","11.001","11.001","18.335","14.668","22.002","44.004","36.67","44.004","55.005","58.672","55.005","55.005","66.006","69.673","91.675","91.675","161.348","154.014","161.348","168.682","183.35","190.684","201.685","216.353","223.687","256.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","CO2 emissions (kt)","EN.ATM.CO2E.KT","887.414","865.412","905.749","986.423","1001.091","1151.438","1243.113","1364.124","1624.481","1672.152","1705.155","1884.838","2405.552","2500.894","1925.175","1980.18","2464.224","2669.576","2808.922","3003.273","3208.625","3047.277","3102.282","3098.615","3182.956","3102.282","3545.989","4121.708","4129.042","4341.728","4560","5070","5430","5690","5930","5800","6160","6250","6550","6810","7070","6930","7110","7770","7710","7870","7940","8240","8400","8180","7820","7550","7020","6380","6750","6780","7150","7300","7230","","",
"Czech Republic","CZE","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150200","136900","134140","130980","124710","125180","126740","124790","118920","111950","123170","122720","118530","122770","123440","120000","120600","123630","118310","111170","113930","110980","107170","102720","99750","100980","102860","103420","102480","","",
"Germany","DEU","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","955310","932370","892750","887010","875810","873090","902750","870900","863140","833350","830080","847500","833180","836550","820830","802170","814160","783600","789550","734660","772920","746380","760020","777630","737490","742310","747150","732200","709540","","",
"Djibouti","DJI","CO2 emissions (kt)","EN.ATM.CO2E.KT","40.337","44.004","47.671","66.006","84.341","121.011","139.346","88.008","121.011","84.341","139.346","161.348","190.684","179.683","194.351","198.018","198.018","198.018","201.685","363.033","348.365","300.694","348.365","348.365","352.032","359.366","377.701","388.702","348.365","388.702","330","340","340","340","330","330","340","350","350","350","370","380","400","410","400","430","430","470","470","460","520","480","510","560","460","540","490","470","490","","",
"Dominica","DMA","CO2 emissions (kt)","EN.ATM.CO2E.KT","11.001","11.001","11.001","14.668","14.668","14.668","14.668","22.002","22.002","18.335","25.669","25.669","25.669","25.669","29.336","29.336","29.336","25.669","25.669","33.003","36.67","36.67","40.337","40.337","44.004","47.671","47.671","47.671","55.005","58.672","60","60","80","80","80","100","80","100","110","110","130","150","120","140","160","160","170","180","180","500","180","170","250","170","180","180","180","170","180","","",
"Denmark","DNK","CO2 emissions (kt)","EN.ATM.CO2E.KT","29779.707","31734.218","36926.69","40707.367","43189.926","44337.697","50127.89","49075.461","53325.514","59401.733","62100.645","57062.187","59643.755","59266.054","55078.34","55778.737","60135.133","61847.622","61117.889","62999.06","60369.821","51789.041","53695.881","50175.561","50861.29","60072.794","58903.021","58341.97","55107.676","48785.768","52080","62730","57010","59290","63190","59920","73300","63720","59740","56960","52710","53850","53980","59340","53890","50270","58210","53400","50120","47890","48180","43090","38210","39980","35760","33600","35380","33330","33380","","",
"Dominican Republic","DOM","CO2 emissions (kt)","EN.ATM.CO2E.KT","1041.428","1030.427","1243.113","1250.447","1749.159","1547.474","1672.152","1569.476","2350.547","2654.908","3109.616","3523.987","4675.425","5966.209","6417.25","6340.243","6332.909","5614.177","5449.162","6809.619","6457.587","6167.894","6340.243","7913.386","7444.01","7293.663","8181.077","9754.22","9834.894","10366.609","7860","8230","9620","9520","11140","11850","12730","14500","16610","17790","18660","18970","20870","18720","17250","18660","20320","20580","20540","19630","20640","20870","21640","21250","21320","23450","24460","23390","25120","","",
"Algeria","DZA","CO2 emissions (kt)","EN.ATM.CO2E.KT","6160.56","6065.218","5669.182","5427.16","5650.847","6596.933","8430.433","8441.434","9061.157","11276.025","15075.037","18668.697","28349.577","38312.816","31906.567","32031.245","39170.894","41891.808","62529.684","45621.147","66519.38","46438.888","39269.903","52625.117","71103.13","72786.283","76277.267","84120.98","83948.631","80046.943","67890","66940","66160","73470","71550","73050","71410","72830","74540","77540","78590","74770","80410","83840","84890","88990","93750","100520","103990","112770","113140","118140","126640","129910","138810","145970","143350","145100","151670","","",
"East Asia & Pacific (excluding high income)","EAP","CO2 emissions (kt)","EN.ATM.CO2E.KT","852432.115420983","632522.161699991","526971.596222606","526843.234731961","535755.189653882","587220.812460183","642276.889533382","564504.496087189","619325.855006065","739013.776354576","974659.80088057","1121743.73180387","1164752.16611225","1224304.56282919","1245333.84246799","1417048.50971048","1481984.75409218","1626684.82876065","1789879.96049547","1833819.93247882","1814441.01486259","1804073.07388964","1941122.80371567","2049500.24400278","2208437.44171935","2386650.86785964","2510692.07747659","2685634.11934101","2894144.52474466","2958765.36660649","2671323.18581045","2825502.41610503","2955998.69249864","3213174.23896728","3362833.28597705","3745146.39711214","3766727.70171936","3871034.00711942","3956429.16932566","3911576.45794318","4130609.69867877","4355403.28763203","4671022.36705925","5331428.2539169","6097776.68934994","6827454.24262081","7467099.63005968","8062943.96381154","8302969.73792014","8812611.99797747","9644902.01971465","10505942.7330843","10794379.6717816","11202249.4835804","11235090.2736051","11228610.1177171","11254610.7431934","11507916.8367761","11907866.4580451","","",
"Early-demographic dividend","EAR","CO2 emissions (kt)","EN.ATM.CO2E.KT","604421.214242335","630430.826726636","666370.723695765","701281.595191063","746736.683579457","800007.783625848","840758.639176639","913977.848178741","1004423.71632641","1061629.30025172","1142619.01645415","1216676.85414106","1250251.67984925","1374726.27048271","1428425.28469795","1460455.65379312","1587486.21510686","1700937.4437463","1785678.30834986","1886542.66134338","1977955.04263786","2052944.62310522","2144337.31279199","2201600.50800209","2279090.92264817","2399847.73774666","2521628.51644589","2623863.40533578","2752512.61680298","2882059.76558159","2596070.24706693","2734404.4699889","2812463.37860902","2908078.54403434","3044959.09652733","3189027.55487052","3352367.2092606","3498888.36528249","3612283.08612561","3722023.78797803","3860085.63976115","3946740.95040105","4077905.21565103","4242135.85001419","4471307.91230259","4665020.97386474","4910871.38036826","5228350.57010058","5445259.14399551","5611922.45401549","5871397.84639943","6097436.46226567","6382099.55815815","6455620.42245337","6786314.14661783","6852436.87383323","6961236.5406579","7207207.07929263","7400359.5242425","","",
"East Asia & Pacific","EAS","CO2 emissions (kt)","EN.ATM.CO2E.KT","1232271.29595304","1066777.45729867","978885.156550887","1024770.9794152","1081082.186205","1177370.21190644","1271876.71015177","1283871.33655245","1425716.62699245","1659111.60079762","2054417.29432393","2245063.04771069","2364536.96518943","2521716.7811023","2547405.73755175","2690218.03663181","2825063.67222342","3031270.82618705","3204082.70869281","3328648.29858783","3323288.83916353","3291061.41660171","3412725.98057658","3520967.72077469","3766238.30453253","3945521.70639864","4089200.59399075","4290089.20043409","4644594.56787809","4795868.19255863","4545253.93044809","4749295.59640681","4928672.65458781","5231578.41045312","5481613.34347649","5936533.20525502","6012555.99357557","6141774.80225952","6137536.74423806","6171273.36452768","6487816.43580857","6734567.92288957","7102051.61236898","7805467.65905364","8640176.28567605","9406374.85800209","10068470.8765328","10757242.9122241","10956090.9583491","11446424.057105","12423292.8821388","13409665.6283473","13756716.1009153","14185336.6519105","14155188.4516276","14136568.7385092","14170430.3914366","14433707.8899407","14810056.8744746","","",
"Europe & Central Asia (excluding high income)","ECA","CO2 emissions (kt)","EN.ATM.CO2E.KT","2430300.25722629","2512343.5793149","2656183.59244808","2850761.45508295","3041972.57901311","3230983.48433867","3418048.26454675","3587973.28407637","3705231.65354277","3878800.60467216","4073857.78002142","4324700.02550343","4556023.27129095","4764316.40737978","4944260.79509577","5203072.33631102","5418208.67199688","5609194.57669981","5811025.65342233","5853615.18677937","6056832.22797723","5969776.33436945","6094576.66052254","6187378.53185103","6223627.27773336","6693711.77865944","6741983.76636541","6753435.29784297","6904072.31175733","6790290.40318326","4025750.576386","3903837.75250534","3598810.00191077","3269102.85182865","2898009.32154125","2811245.33764592","2724461.29735117","2579583.89613345","2555716.78082243","2540132.9584723","2601084.35631278","2591998.80737506","2621842.72971353","2716107.80699232","2735171.414642","2737237.22378236","2866315.41264781","2912541.45761608","2973768.67087342","2725352.53066891","2877298.23191623","3042250.95817305","3033362.49038921","2973728.58759142","2886246.82462307","2807994.23733557","2837305.1372992","2893251.37815284","2949087.38998098","","",
"Europe & Central Asia","ECS","CO2 emissions (kt)","EN.ATM.CO2E.KT","4836199.46394316","5001459.20992692","5280550.62155034","5654244.16615865","5948023.71527582","6224880.82767698","6497112.54870573","6715900.28031767","7014837.19681255","7378568.79075316","7826039.00767564","8158008.83422603","8538858.8560425","8945182.12889176","9029547.92358516","9176205.30862564","9653729.36997394","9816861.2119365","10140000.2367989","10382547.6967318","10448255.1330077","10085576.2915828","10091019.2460792","10108792.8444037","10139384.2645822","10698737.4350407","10732845.4966017","10800669.6374039","10895798.1466467","10922324.1501952","7974744.74158438","7873341.83232611","7459866.0099771","7063801.59409825","6681522.0431808","6630810.5704812","6660383.91449725","6437000.97924325","6427774.33634394","6376792.37574175","6444224.00804934","6499102.99806286","6509151.1227404","6701217.56971723","6730269.97406904","6710554.41139168","6844736.25562898","6835622.54625027","6808431.64409291","6281559.09135102","6542802.06843192","6555060.50829955","6516141.96473289","6383963.13354585","6107967.96534974","6069600.2503719","6089580.3055483","6148128.37700757","6142069.26253052","","",
"Ecuador","ECU","CO2 emissions (kt)","EN.ATM.CO2E.KT","1763.827","1646.483","1565.809","1796.83","2145.195","2277.207","2420.22","2592.569","3116.95","3593.66","4283.056","4224.384","4594.751","5262.145","6090.887","7363.336","8111.404","7484.347","10425.281","12167.106","13443.222","16692.184","19288.42","19556.111","21257.599","19431.433","15276.722","15115.374","17271.57","20267.509","15600","16160","17210","16140","17030","19780","22490","23550","23380","20720","21370","23420","23590","23960","25420","27150","29110","29580","30280","32430","34650","35500","36630","39430","41200","40720","39010","37760","39530","","",
"Egypt, Arab Rep.","EGY","CO2 emissions (kt)","EN.ATM.CO2E.KT","16054.126","17088.22","18595.357","21554.626","25522.32","27641.846","26563.748","19677.122","22904.082","19695.457","21686.638","23047.095","25511.319","23795.163","26123.708","31099.827","34495.469","37865.442","39313.907","42947.904","45239.779","50978.634","56523.138","57091.523","63838.803","63937.812","74564.778","74810.467","74531.775","72181.228","86820","89390","92300","91830","86430","91870","96770","103960","109270","114670","112860","125010","127740","131240","142690","160590","169130","182230","189120","195490","196500","201610","212410","210430","216650","225950","233960","238690","246260","","",
"Euro area","EMU","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2622870","2638010","2563960","2510690","2509020","2558270","2615430","2587240","2629090","2614010","2632530","2679680","2684280","2741390","2754840","2746350","2730260","2693450","2636270","2438490","2501370","2408310","2379020","2332350","2208030","2256340","2253030","2256530","2207420","","",
"Eritrea","ERI","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","440","630","730","800","870","830","610","650","640","700","680","690","680","600","520","510","450","470","500","580","630","650","680","650","660","720","800","","",
"Spain","ESP","CO2 emissions (kt)","EN.ATM.CO2E.KT","48928.781","53677.546","60054.459","58822.347","64410.855","71117.798","77729.399","86519.198","97157.165","96882.14","116929.629","128682.364","145026.183","155367.123","173152.073","181644.845","198443.372","195663.786","200493.225","203745.854","215003.544","207288.176","209906.414","204867.956","198953.085","201233.959","190467.647","190878.351","199033.759","226671.938","215020","222210","232480","218110","228460","240580","230100","248610","256220","278310","293310","294790","312750","318660","335560","350500","341780","354680","324160","287490","273250","274400","269270","242800","240960","256280","247030","263440","258340","","",
"Estonia","EST","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35020","31360","23780","18320","17880","16230","17210","16830","16260","15200","14820","15290","14860","16830","16920","17120","15890","19850","18290","14960","18880","18050","16780","19190","17820","15370","15650","16280","16000","","",
"Ethiopia","ETH","CO2 emissions (kt)","EN.ATM.CO2E.KT","352.032","341.031","396.036","421.705","407.037","645.392","825.075","1074.431","1727.157","1668.485","1653.817","1851.835","1408.128","1752.826","1738.158","1210.11","1177.107","1048.762","1371.458","1848.168","1822.499","1866.503","1481.468","1844.501","1664.818","1815.165","2214.868","2581.568","2673.243","2827.257","2310","2330","1520","1940","2260","2570","2870","3060","3230","3180","3560","4400","4570","5020","5330","5050","5400","6070","6880","6930","6470","7540","8460","10280","12330","12880","14950","15460","16280","","",
"European Union","EUU","CO2 emissions (kt)","EN.ATM.CO2E.KT","1687910.91458641","1775816.56177005","1924617.38934089","2102660.95369133","2223323.73193578","2308396.11337154","2412860.62481499","2530014.73254742","2707669.08059311","2897623.80862301","3116397.71451264","3207027.87582959","3394658.75356932","3601853.47439237","3600834.64347697","3537180.60634133","3837936.05830539","3811572.37742716","3967127.25263941","4114434.17645228","4074379.23967724","3825160.6054786","3740677.77226917","3678981.26419569","3674224.81200077","3742372.00794871","3717496.50705926","3800176.35297459","3740672.04849998","3855628.22886436","3562660","3523680","3409310","3348670","3336380","3389850","3487250","3418590","3410320","3355390","3362290","3418140","3411220","3503750","3508990","3489300","3497050","3456800","3379180","3129340","3215040","3117130","3057640","2983560","2838990","2896820","2904100","2926600","2871000","","",
"Fragile and conflict affected situations","FCS","CO2 emissions (kt)","EN.ATM.CO2E.KT","111700.090115578","108323.777002636","111695.017318434","117574.958408734","121631.735946686","147210.609905741","160314.317238399","180108.794842754","194123.430735206","220840.965394006","240216.415860855","239788.279437751","242106.592622431","262361.089149482","286855.958122382","257177.905644246","292080.133412809","290613.538431538","294863.020162984","362012.118948304","370998.429190686","364334.986775782","365296.016406367","378759.540520143","395584.391019565","414627.352562088","435514.944438198","432057.970553774","479007.228525631","447106.510361595","446918.890626661","450609.140386868","446530.443283482","479756.10548231","487381.165286465","499140.293659138","520137.278956523","543706.573585431","504315.535052319","481307.657142593","503213.116767381","531059.38603878","538102.613970329","528530.993696417","543194.552687473","605644.783046042","589593.441158129","583572.912414411","619369.547724519","626665.612219025","671707.330650842","678687.062279153","723565.512134869","745929.338519784","772835.180645897","731376.557142715","733331.864367626","745603.453982299","771602.929738531","","",
"Finland","FIN","CO2 emissions (kt)","EN.ATM.CO2E.KT","15104.373","14939.358","16809.528","19358.093","22852.744","25327.969","29519.35","28617.268","33314.695","37935.115","40395.672","40582.689","44161.681","49387.156","46680.91","46101.524","51279.328","50219.565","51913.719","54333.939","58246.628","51510.349","43083.583","41576.446","42254.841","49665.848","53329.181","57656.241","52185.077","52584.78","54560","55130","52280","53460","59930","56090","62570","60620","57270","56510","55100","61090","63440","71710","67680","55460","67020","65100","56660","54180","62530","55120","49410","50190","46160","42820","45710","43010","44360","","",
"Fiji","FJI","CO2 emissions (kt)","EN.ATM.CO2E.KT","194.351","168.682","231.021","242.022","425.372","344.698","322.696","355.699","396.036","432.706","520.714","550.05","579.386","630.724","671.061","623.39","484.044","766.403","711.398","839.743","795.739","1081.765","839.743","715.065","583.053","579.386","605.055","476.71","553.717","630.724","730","730","760","750","750","760","820","800","780","800","850","1080","920","1080","1460","1280","1370","1260","960","970","1160","1110","1030","1130","1310","1510","1740","1810","1900","","",
"France","FRA","CO2 emissions (kt)","EN.ATM.CO2E.KT","271218.654","281211.229","298706.486","334019.696","345303.055","351852.317","347235.564","372009.816","384631.63","413259.899","439013.24","462434.369","480729.032","516599.626","499071.366","446919.292","505602.293","480857.377","505858.983","529155.434","505363.938","454700.666","436893.714","422603.415","405342.846","400880.107","385614.386","377491.981","372207.834","390649.177","356540","380690","368660","349530","344480","352280","367960","359140","381180","375000","373240","376860","371170","376840","377950","380820","371600","362910","358210","343880","347940","333530","336330","336630","304530","310520","312710","316360","309960","","",
"Faroe Islands","FRO","CO2 emissions (kt)","EN.ATM.CO2E.KT","58.672","113.677","117.344","124.678","121.011","135.679","139.346","168.682","183.35","212.686","256.69","260.357","234.688","253.023","300.694","348.365","330.03","407.037","399.703","480.377","421.705","440.04","458.375","487.711","498.712","517.047","491.378","498.712","528.048","579.386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","110","110","110","120","120","130","130","130","130","150","140","160","160","160","140","140","120","130","110","120","130","140","140","150","170","170","180","","",
"Gabon","GAB","CO2 emissions (kt)","EN.ATM.CO2E.KT","132.012","165.015","88.008","73.34","190.684","216.353","381.368","1012.092","1961.845","1433.797","2082.856","2845.592","2739.249","5313.483","5452.829","5368.488","5709.519","6314.574","7561.354","6754.614","6633.603","6574.931","6556.596","5518.835","5995.545","6318.241","4968.785","4022.699","4334.394","5771.858","4130","4350","4610","4700","4440","4610","4720","4830","4930","4820","4670","4580","4330","4390","4430","4630","4040","4050","4130","4200","4770","5640","5830","5700","5500","5480","5710","4700","4610","","",
"United Kingdom","GBR","CO2 emissions (kt)","EN.ATM.CO2E.KT","584299.78","588938.535","593360.937","603822.888","608355.3","622619.93","618564.228","592517.527","606969.174","628857.497","653063.364","660863.073","648486.948","660034.331","617607.141","603643.205","598912.775","604746.972","605084.336","644893.288","579290.658","560819.979","548520.861","545741.275","529335.117","559855.558","568777.369","571868.65","570464.189","581721.879","556690","570340","552980","540520","535390","524290","544660","522330","525030","522360","530120","544480","530230","542080","542320","540600","541640","529160","514410","465120","481790","444420","467080","453060","414850","400370","378890","366380","358800","","",
"Georgia","GEO","CO2 emissions (kt)","EN.ATM.CO2E.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33490","25510","20070","16090","10440","8180","6360","5520","4990","4520","4770","3520","2960","3160","3370","4240","4700","5630","4840","5620","5320","6520","7190","7840","8470","9200","9650","9630","9460","","",
"Ghana","GHA","CO2 emissions (kt)","EN.ATM.CO2E.KT","1463.133","1345.789","1433.797","1723.49","1650.15","1705.155","1441.131","1496.136","1763.827","1690.487","2625.572","2295.542","2423.887","2475.225","2937.267","2746.583","2434.888","3003.273","2970.27","2658.575","2559.566","3047.277","3043.61","3655.999","2581.568","3325.969","3047.277","3285.632","3450.647","3344.304","2790","2560","3080","3190","3460","3710","4090","4290","6100","6580","5740","6210","7420","7130","6620","7020","8430","9050","8560","9950","11150","12210","14220","15010","14370","15130","14110","14780","16110","","",
"Gibraltar","GIB","CO2 emissions (kt)","EN.ATM.CO2E.KT","47.671","51.338","55.005","55.005","55.005","47.671","55.005","62.339","66.006","66.006","69.673","80.674","73.34","84.341","77.007","88.008","77.007","77.007","69.673","91.675","88.008","51.338","22.002","36.67","33.003","44.004","40.337","47.671","69.673","69.673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","CO2 emissions (kt)","EN.ATM.CO2E.KT","410.704","616.056","660.06","696.73","700.397","696.73","718.732","726.066","748.068","748.068","792.072","814.074","832.409","803.073","839.743","843.41","887.414","902.082","902.082","946.086","964.421","990.09","982.756","953.42","979.089","993.757","997.424","993.757","1026.76","1045.095","1000","1020","1050","1080","1120","1160","1230","1290","1360","1430","1490","1570","1630","1700","1770","1840","1900","1980","2010","2120","2500","2620","2490","2180","2240","2540","2830","2970","3120","","",
"Gambia, The","GMB","CO2 emissions (kt)","EN.ATM.CO2E.KT","18.335","22.002","25.669","29.336","29.336","29.336","33.003","33.003","36.67","47.671","47.671","55.005","66.006","62.339","62.339","99.009","99.009","113.677","139.346","146.68","157.681","157.681","161.348","161.348","172.349","172.349","161.348","179.683","183.35","179.683","190","200","200","210","210","220","220","230","250","260","240","310","300","300","320","340","360","400","430","480","440","450","460","440","520","530","530","540","570","","",
"Guinea-Bissau","GNB","CO2 emissions (kt)","EN.ATM.CO2E.KT","18.335","29.336","40.337","47.671","58.672","66.006","66.006","47.671","62.339","58.672","69.673","73.34","66.006","110.01","102.676","113.677","95.342","102.676","102.676","110.01","146.68","143.013","143.013","143.013","161.348","172.349","183.35","194.351","216.353","231.021","170","170","180","190","180","180","180","200","170","190","150","150","150","200","210","210","220","230","220","230","240","250","250","260","280","280","300","300","310","","",
"Equatorial Guinea","GNQ","CO2 emissions (kt)","EN.ATM.CO2E.KT","22.002","22.002","22.002","25.669","25.669","29.336","25.669","25.669","29.336","44.004","36.67","66.006","88.008","29.336","51.338","62.339","62.339","62.339","69.673","62.339","58.672","69.673","73.34","62.339","80.674","66.006","80.674","99.009","106.343","117.344","60","70","70","990","990","1000","1510","1630","1610","1820","2350","2730","4030","5160","7250","8090","9160","7550","8980","9660","9520","9710","10010","9350","8090","7140","5600","5630","6670","","",
"Greece","GRC","CO2 emissions (kt)","EN.ATM.CO2E.KT","9405.855","9823.893","10164.924","12258.781","13223.202","17025.881","18650.362","19534.109","22321.029","25474.649","24165.53","27814.195","31572.87","37256.72","36218.959","38873.867","42911.234","46999.939","48081.704","51293.996","51429.675","50721.944","52148.407","55544.049","57054.853","60600.842","59130.375","63472.103","67989.847","74183.41","75620","75820","78180","78090","79730","82840","82760","83760","87130","87400","94460","96610","96600","100220","99850","101950","100700","104310","100410","94740","87580","84550","80090","72480","69550","68010","66850","66800","65290","","",
"Grenada","GRD","CO2 emissions (kt)","EN.ATM.CO2E.KT","22.002","18.335","25.669","14.668","22.002","22.002","29.336","36.67","40.337","47.671","44.004","47.671","47.671","55.005","36.67","47.671","47.671","47.671","51.338","47.671","47.671","58.672","62.339","62.339","62.339","62.339","66.006","73.34","95.342","102.676","110","120","160","150","160","170","190","200","230","220","210","230","240","250","230","250","260","280","290","810","290","290","420","320","250","270","280","290","300","","",
"Greenland","GRL","CO2 emissions (kt)","EN.ATM.CO2E.KT","223.687","293.36","264.024","330.03","315.362","344.698","388.702","418.038","542.716","407.037","381.368","469.376","553.717","557.384","557.384","506.046","220.02","722.399","392.369","572.052","564.718","528.048","517.047","363.033","568.385","509.713","326.363","234.688","546.383","473.043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","CO2 emissions (kt)","EN.ATM.CO2E.KT","1345.789","1408.128","1382.459","1521.805","1771.161","1976.513","1741.825","1983.847","2141.528","2280.874","2299.209","2442.222","2709.913","2937.267","3069.279","3523.987","3311.301","3813.68","4129.042","4693.76","4510.41","3967.694","3626.663","3179.289","3421.311","3523.987","3700.003","3993.363","4125.375","4246.386","3930","4030","4830","5110","5430","6350","6190","6550","8290","8200","9420","9810","10470","10540","10750","11520","11510","12410","11240","11850","11450","11740","12150","13010","13950","16340","17460","16510","18210","","",
